Task ID,Category,Priority,Status,Project,Autonomy,Owner,Title,Notes
TECH-039,TECH,P2 - Medium,Backlog,MCP & Tool Integration,Possibly Safe,,Fix Maps MCP tool - can't read search results back,"Why: Maps opens search on machine but Nyx can't read results; pins also buggy
Next step: Investigate Maps MCP output handling
Effort: S
Owner: claire"
PERS-074,PERS,P2 - Medium,Backlog,Shopping & Errands,Unsafe,,Buy Instant Pot steamer insert,"Why: Having issues steaming broccoli in Instant Pot
Next step: Order AOZITA steamer basket from Amazon (~$15-25)
Effort: XS
Owner: arielle"
TECH-144,TECH,P2 - Medium,Backlog,Sub-Agent System,Possibly Safe,,Containers for dangerous sub-agents (dev/test sandboxing),"Why: Bad agent can take down whole gateway; need isolation
Next step: Research container options (Docker) for sub-agent isolation
Effort: L
Owner: nyx"
PERS-031,PERS,P3 - Low,Backlog,Memory & Identity,Possibly Safe,,Give Nyx access to MyChart health records,"Why: Enable Nyx to help with healthcare admin work (appointments, insurance, referrals, tracking)
Next step: Evaluate privacy model; set up read access once Nyx is on dedicated hardware; research MyChart API options
Dependencies: TECH-020
Effort: M
Owner: arielle"
TECH-139,TECH,P1 - High,Backlog,Crash Prevention & Recovery,Possibly Safe,,Install cron for auto-recovery,"Why: Script is ready (nyx-auto-recover.sh); needs cron entry installed by Arielle
Next step: Run crontab -e and add the auto-recover entry
Dependencies: TECH-110
Effort: XS
Owner: arielle"
TECH-133,TECH,P1 - High,Backlog,Sub-Agent System,Possibly Safe,,Merge cowork-nyx-enablement branch to main,"Why: Active work branch has significant commits from recovery and enablement work
Next step: Review branch changes; merge to main when stable; tag appropriately
Effort: S
Owner: arielle"
PERS-078,PERS,P1 - High,To Do,Health - Medical & HRT,Possibly Safe,Arielle,Schedule liver lab tests,"Routine labs, important for HRT monitoring"
PERS-055,PERS,P2 - Medium,Backlog,Voice Pipeline,Possibly Safe,,Set up voice calling capability (DeepClaw),"Why: Arielle wanted Nyx to call her; DeepClaw has nyx-voice-tweaks branch but status unknown
Next step: Check DeepClaw current state; verify make_call.py works; Arielle needs to verify phone number in Twilio
Effort: M
Owner: nyx"
PERS-025,PERS,P2 - Medium,Backlog,Social & Events,Unsafe,,Zelle funds to Miki for Ica's classes,"Why: Coparent Miki needs funds this month for Ica's classes
Next step: Send Zelle payment to Miki
Effort: XS
Owner: arielle"
PERS-058,PERS,P1 - High,Backlog,Social & Events,Unsafe,,Book Maui flights using Avios points ASAP,"Why: Points may expire or prices change; Ica tradition; must have summer trip funded
Next step: Log in to Avios account and book flights this week
Effort: M
Owner: arielle"
TECH-114,TECH,P1 - High,Backlog,AI & Models,Possibly Safe,,Fix API fallback chain — remove dead Anthropic API key,"Why: When Claude CLI hits rate limit gateway falls back to dead Anthropic API key causing billing errors instead of graceful fallback to ChatGPT
Next step: Remove anthropic:default profile from auth-profiles.json; verify fallback goes Claude CLI -> OpenAI Codex directly
Effort: S
Owner: nyx"
BIZ-002,BIZ,P0 - Critical,Backlog,Business Ops,Possibly Safe,,Open business bank account for SoCal AI Automation,"Why: Cannot accept payment without a bank account; LLC + EIN exist
Next step: Research business banking options and open account
Effort: M
Owner: arielle"
TECH-116,TECH,P1 - High,Backlog,Content & Docs,Possibly Safe,,Off-repo backup strategy for gitignored memory files,"Why: Memory files are single point of failure; gitignored files not protected by git backup
Next step: Design backup strategy covering ~/.openclaw/workspace/memory/ and ~/.claude/projects/ transcript directories
Effort: M
Owner: nyx"
PERS-040,PERS,P3 - Low,Backlog,Shopping & Errands,Possibly Safe,,Install dancing pole from Andriel,"Why: Fitness/fun equipment - pressure-mount pole needs ceiling height measurement first
Next step: Measure ceiling height where pole would go then unpack and assess
Effort: S
Owner: arielle"
TECH-105,TECH,P1 - High,Backlog,AI & Models,Possibly Safe,,Set up automatic model fallback on quota exhaustion,"Why: Fallback chain defined in openclaw.json but doesn't auto-trigger when Claude Pro quota runs out
Next step: Wire up automatic provider rotation when primary hits quota limit
Effort: M
Owner: nyx"
TECH-082,TECH,P1 - High,In Progress,Environment & Config,Possibly Safe,,Implement lowercase directory naming convention,"Why: Standardize all directory names to lowercase across the project
Next step: Document convention in CLAUDE.md or memory; ensure all agents follow it
Effort: XS
Owner: nyx"
TECH-071,TECH,P1 - High,Backlog,CLI & Interface,Safe,,Build quota check via tmux scraping,"Why: Programmatically capture Claude usage percentages without AI model calls
Next step: Create dedicated detached tmux session with quota-check cron script
Effort: M
Owner: nyx"
PERS-014,PERS,P2 - Medium,Blocked,Communication Channels,Safe,,Report Discord scammer who tried to extort Ica,"Why: Documented scam attempt in PDF with screenshots but can't login to Discord website to submit
Next step: Submit report when Discord fixes website login; PDF evidence ready
Effort: S
Owner: arielle"
PERS-054,PERS,P2 - Medium,Backlog,Communication Channels,Possibly Safe,,Set up Telegram bot token for recovery alerts,"Why: Needed at ~/.openclaw/secrets/telegram-bot-token for alert fallback to work
Next step: Create telegram-bot-token file with current bot token; verify alert script can read it
Effort: XS
Owner: arielle"
TECH-090,TECH,P2 - Medium,Backlog,Security & Auth,Possibly Safe,,Fix ngrok auth error on gateway startup,"Why: Ngrok tunnel setup fails with ERR_NGROK_4018 - needs auth token or should be disabled
Next step: Either configure ngrok authtoken or disable ngrok in voice-call plugin config
Effort: XS
Owner: clem"
BIZ-026,BIZ,P3 - Low,Backlog,Business Ops,Possibly Safe,,Re-engage Toni/Rope Collective at new yoga studio venue,"Why: Previous work done; relationship is real; new venue may mean new needs
Next step: Reach out to Toni about new setup and potential needs
Effort: S
Owner: arielle"
PERS-049,PERS,P2 - Medium,Backlog,Housing & Legal,Possibly Safe,,Replace smoke detector battery,"Why: Disconnected smoke detector due to low battery beeping; needs new battery
Next step: Buy replacement battery and reconnect smoke detector
Effort: XS
Owner: arielle"
TECH-151,TECH,P3 - Low,Backlog,Build & Deploy,Possibly Safe,,Full system software update runbook,"Why: No documented process for system updates
Next step: Write comprehensive update runbook
Effort: M
Owner: nyx"
TECH-107,TECH,P2 - Medium,In Progress,AI & Models,Safe,,Evaluate multi-model usage optimization strategy,"Why: Burning through weekly allowances too fast across two Claude Pro accounts; need smarter switching and throttling
Next step: Design burn-rate tracking; automatic account switching; model-appropriate task routing
Effort: L
Owner: nyx"
TECH-022,TECH,P2 - Medium,In Progress,AI & Models,Possibly Safe,,Implement model switching shell command improvements,"Why: Need clean model toggle between Claude and OpenAI with minimal context loss
Next step: Test and document model switching workflow; address context loss on switch-back
Effort: S
Owner: arielle"
TECH-024,TECH,P2 - Medium,Backlog,CLI & Interface,Possibly Safe,,Fix OpenClaw 'no response requested' autopilot bug,"Why: Nyx sometimes sends 'no response requested' to user instead of responding conversationally
Next step: Investigate why file-update operations trigger NRR instead of continuing conversation
Effort: S
Owner: nyx"
PERS-067,PERS,P1 - High,Backlog,Social & Events,Unsafe,,Climbing with Eve near airport - Mon Feb 16 1pm,"Why: Scheduled physical activity
Next step: Show up at climbing gym near airport at 1pm
Effort: XS
Owner: arielle"
TECH-044,TECH,P1 - High,Backlog,Environment & Config,Safe,,Reorganize OpenClaw project files and documentation for shared context,"Why: Claire/Clem/Nyx can't find each other's docs; no shared knowledge base; too much context searching
Next step: Design shared documentation architecture with automated context loading
Effort: L
Owner: nyx"
TECH-124,TECH,P1 - High,Backlog,Health - Medical & HRT,Possibly Safe,,Fix bootstrap injection character limit,"Why: MEMORY.md at 22K-42K chars exceeds 20K bootstrap limit causing truncation; need to trim or raise limit
Next step: Raise bootstrap limit to 40K+ or archive older entries and create lean bootstrap version; test with gateway restart
Effort: S
Owner: nyx"
TECH-007,TECH,P3 - Low,Backlog,MCP & Tool Integration,Possibly Safe,,Migrate Nyx off Telegram to preferred platform,"Why: Arielle not happy with Telegram interface; wants different messaging platform
Next step: Decide on preferred platform and configure OpenClaw dock
Dependencies: TECH-004
Effort: M
Owner: arielle"
PERS-056,PERS,P3 - Low,Backlog,Health - Medical & HRT,Possibly Safe,,Reconstruct Arielle's full weekly timeline for therapy,"Why: Arielle needs help reconstructing timelines because brain is fried; therapist is Chelsie
Next step: Build comprehensive weekly timeline from Telegram archive + health tracking + calendar data
Dependencies: TECH-128
Effort: M
Owner: nyx"
PERS-083,PERS,P4 - Backlog,Backlog,Content & Docs,Unsafe,Arielle,Podcast with the transgender community,Fun side project. When time allows.
TECH-038,TECH,P2 - Medium,Backlog,AI & Models,Possibly Safe,,Fix canvas/dashboard session sync after model swap,"Why: Canvas shows old session after model switch; not connected to current active session
Next step: Debug session key mapping in OpenClaw gateway config
Dependencies: TECH-036
Effort: S
Owner: claire"
TECH-076,TECH,P1 - High,In Progress,AI & Models,Possibly Safe,,Deprecate model-switch scripts; replace with Models CLI,"Why: Claire's custom scripts (nyx-switch-model.sh etc.) should be replaced by openclaw models commands
Next step: Replace aliases with Models CLI commands; keep only nyx-switch-account.sh
Effort: M
Owner: nyx"
PERS-042,PERS,P2 - Medium,Backlog,Health - Habits & Wellness,Possibly Safe,,Import MyChart calendars to Apple Calendar,"Why: Medical appointments not syncing to calendar system
Next step: Research MyChart calendar export/sync options
Effort: S
Owner: arielle"
PERS-048,PERS,P3 - Low,Backlog,Shopping & Errands,Possibly Safe,,Get a mani/pedi,"Why: Self-care goal tied to business motivation
Next step: Schedule after landing first client
Dependencies: BIZ-001
Effort: XS
Owner: arielle"
PERS-062,PERS,P1 - High,Backlog,Voice Pipeline,Possibly Safe,,Call mom Monday or Tuesday,"Why: Arielle asked for reminder
Next step: Call mom Monday morning
Effort: XS
Owner: arielle"
BIZ-011,BIZ,P1 - High,Backlog,Content & Docs,Possibly Safe,,Social media presence and content distribution strategy,"Why: Website live with 3 blog posts; needs eyes on it via social channels
Next step: Decide platforms (IG, LinkedIn, Threads); define posting cadence; share existing blog posts
Effort: M
Owner: arielle,nyx"
PERS-047,PERS,P2 - Medium,Backlog,Environment & Config,Safe,,Explain OpenClaw config files to Arielle,"Why: Arielle doesn't have mental capacity to review configs now but wants to understand them
Next step: Schedule walkthrough of openclaw.json and agent configs during low-pressure time
Effort: S
Owner: nyx"
TECH-143,TECH,P2 - Medium,Backlog,Testing & QA,Safe,,openclaw doctor --repair overwrites patches - add guard,"Why: Doctor command destroys manual patches; needs protection
Next step: Add pre-check or backup before doctor runs
Effort: S
Owner: nyx"
TECH-092,TECH,P0 - Critical,Backlog,CLI & Interface,Possibly Safe,,Fix OpenClaw streaming (gateway/claude-cli),"Why: Streaming returns empty [DONE] - causes high latency on voice calls requiring non-streaming workaround
Next step: Investigate streaming configuration in openclaw.json and claude-cli compatibility
Effort: M
Owner: clem"
TECH-051,TECH,P2 - Medium,Backlog,Sub-Agent System,Possibly Safe,,Try Codex for code-heavy tasks,"Why: Paying for ChatGPT rest of month; might as well try Codex for technical work
Next step: Test Codex on a technical task to evaluate usefulness
Effort: S
Owner: arielle"
TECH-122,TECH,P1 - High,Backlog,Testing & QA,Possibly Safe,,Rebuild dev/test environment infrastructure,"Why: Dev/test gateway aliases lost in crash rollback; need to recreate multi-gateway setup from commit 94d7003
Next step: Recreate dev/test profiles using openclaw --profile; restore aliases nyx-dev-start/stop/status and nyx-test-start/stop/status
Effort: M
Owner: nyx"
TECH-137,TECH,P1 - High,Backlog,Session Management,Possibly Safe,,Heartbeat enable/disable wrapper - atomic toggle,"Why: Currently requires two manual steps to toggle heartbeat
Next step: Design single-command toggle script
Effort: S
Owner: nyx"
TECH-108,TECH,P1 - High,Backlog,Testing & QA,Possibly Safe,,Live test account switching end-to-end,"Why: Account switching via nyx-use-claude-Arielle works but needs formal end-to-end verification
Next step: Run nyx-use-claude-Arielle and nyx-use-claude-Genevieve; verify Telegram responses on each
Effort: S
Owner: arielle"
PERS-064,PERS,P1 - High,In Progress,Health - Habits & Wellness,Possibly Safe,,Address sleep deficit - 20 hours behind for the week,"Why: Averaging 4.7h/night; 55+ hours worked; body will revolt
Next step: Prioritize 7-8 hours sleep nightly; reduce late-night work sessions
Effort: S
Owner: arielle"
PERS-021,PERS,P2 - Medium,Backlog,Health - Habits & Wellness,Unsafe,,Send Eve updated availability for rope sessions,"Why: Eve hasn't gotten back about scheduling; need to be proactive
Next step: Text Eve with specific available dates this month
Effort: XS
Owner: arielle"
TECH-058,TECH,P2 - Medium,Backlog,Sub-Agent System,Possibly Safe,,Set up Kimi 2.5 account and agent interface,"Why: Evaluate Kimi as alternative model ($0.99/month)
Next step: Open Kimi account and configure as OpenClaw provider
Effort: M
Owner: arielle"
PERS-028,PERS,P3 - Low,Backlog,Health - Habits & Wellness,Possibly Safe,,Get bump below earlobe scanned,"Why: Small bump on right side ~3/4 inch below earlobe; not present on left side; may be related to neuralgia
Next step: Schedule imaging appointment
Effort: S
Owner: arielle"
TECH-089,TECH,P2 - Medium,Backlog,Sub-Agent System,Possibly Safe,,Fix Clem and Claire agent identities (showing as Nyx),"Why: Both agents loaded with Nyx identity instead of their own distinct identities
Next step: Update IDENTITY.md in workspace-clem and workspace-claire directories
Dependencies: TECH-046
Effort: XS
Owner: nyx"
TECH-045,TECH,P2 - Medium,Backlog,Architecture & Planning,Possibly Safe,,Set up proper git/GitHub integration for project,"Why: Need version control for documentation and configuration changes
Next step: Determine what to version and set up git workflow after docs reorg
Dependencies: TECH-044
Effort: M
Owner: claire"
TECH-150,TECH,P3 - Low,Backlog,Build & Deploy,Possibly Safe,,Branch cleanup and stale file archival,"Why: Multiple branches and loose files from recovery period
Next step: Audit branches and recommend cleanup
Effort: M
Owner: nyx"
TECH-120,TECH,P1 - High,Backlog,Crash Prevention & Recovery,Possibly Safe,,Integrate community session repair tools,"Why: Community has proven tools (repair-session.py + session-monitor.sh from Gist: rodbland2021) for JSONL corruption detection
Next step: Download and integrate repair-session.py and session-monitor.sh; test against known-good and corrupted JSONL files
Effort: M
Owner: nyx"
TECH-119,TECH,P1 - High,Backlog,Session Management,Safe,,Define rules for Nyx about autonomous sessions.json/git modifications,"Why: Need explicit guardrails for what Nyx can and cannot modify autonomously to prevent future destructive incidents
Next step: Document safe list vs not-safe list; add to CAPABILITIES.md or AGENTS.md
Effort: S
Owner: arielle"
TECH-094,TECH,P1 - High,In Progress,Voice Pipeline,Possibly Safe,,Enable Nyx to initiate outbound phone calls via make-call skill,"Why: Nyx can trigger calls but they spawn generic sessions without her memory
Next step: Finalize make-call skill with proper context injection
Dependencies: TECH-093
Effort: M
Owner: clem"
BIZ-012,BIZ,P1 - High,Backlog,Content & Docs,Safe,,Blog post: Ethical AI - Indigenous perspectives + environmental cost analysis,"Why: Core to brand values; seminar recordings available; research needed on LLM environmental costs
Next step: Find seminar recording links in email; begin environmental cost research
Effort: L
Owner: nyx"
TECH-032,TECH,P2 - Medium,Backlog,Communication Channels,Possibly Safe,,Install Answer Overflow skill and Discord integration,"Why: Access OpenClaw Discord knowledge base; pull community solutions into searchable KB
Next step: Install skill from clawdhub.com; connect to Overflow Discord; search existing solutions before building
Effort: M
Owner: nyx"
TECH-149,TECH,P2 - Medium,Backlog,Crash Prevention & Recovery,Possibly Safe,,File crash prevention bug on GitHub for community,"Why: New bug that's hard to track down; should be shared
Next step: Write up the JSONL+CLI session routing bug and file on GitHub
Effort: S
Owner: arielle"
TECH-062,TECH,P2 - Medium,Backlog,MCP & Tool Integration,Possibly Safe,,Calendar integration for Nyx,"Why: Calendar access works via osascript JXA (35 calendars); need to scope which calendars, alert criteria, read-only per trust model
Next step: Scope with Arielle: which calendars to check; how far ahead; alert vs log criteria
Effort: M
Owner: arielle"
BIZ-018,BIZ,P2 - Medium,Backlog,Content & Docs,Safe,,AI ethics framework - internal document on ethical AI use,"Why: Need to be prepared to answer client questions about ethical AI use
Next step: Draft internal ethics framework document
Effort: M
Owner: arielle,nyx"
BIZ-038,BIZ,P2 - Medium,Backlog,Sales & Outreach,Possibly Safe,,Gift Sarah workflow automation evaluation session,"Why: Sarah (salon owner) doing free gender-affirming haircuts; want to gift her automation eval
Next step: Prepare workflow automation evaluation offering for Sarah
Effort: M
Owner: arielle"
TECH-118,TECH,P1 - High,Backlog,Housing & Legal,Possibly Safe,,Update project files (Current State doc and Security Doc),"Why: Project documentation is stale after recovery; doesn't reflect current architecture
Next step: Update PHASE_2_NEXT_STEPS.md and security documentation to reflect post-recovery state
Effort: S
Owner: nyx"
BIZ-027,BIZ,P1 - High,Backlog,Web & Hosting,Possibly Safe,,Confirm Squarespace DNS propagation and HTTPS certificate provisioning,"Why: DNS records set; need to verify site is live at socalaiautomation.com with SSL
Next step: Check dig socalaiautomation.com and verify HTTPS works
Effort: XS
Owner: arielle"
TECH-025,TECH,P3 - Low,Backlog,Environment & Config,Safe,,Consolidate OpenClaw directory structure,"Why: Three overlapping directories and scattered repos; need clean ~/code/<org>/<repo> layout
Next step: Move ~/openclaw to ~/code/openclaw; ~/deepclaw to ~/code/deepgram/deepclaw; update plist paths
Effort: L
Owner: nyx"
BIZ-017,BIZ,P2 - Medium,Backlog,Business Ops,Safe,,Brand name conversation - socalaiautomation doesn't feel queer-coded enough,"Why: Name chosen before QT positioning was defined
Next step: Brainstorm alternative names that feel more queer-coded
Effort: M
Owner: arielle,nyx"
TECH-086,TECH,P2 - Medium,Backlog,Crash Prevention & Recovery,Possibly Safe,,Implement leaner session restore / checkpoint system,"Why: 40% of token window consumed just for context restoration after crash
Next step: Design compressed session snapshot; implement token budget tracking per file
Effort: L
Owner: nyx"
TECH-145,TECH,P2 - Medium,Backlog,MCP & Tool Integration,Safe,,Contacts write access - research alternatives to Apple MCP read-only limitation,"Why: Can't create/edit contacts; needed for CRM-like functions
Next step: Research osascript JXA scripting or vCard creation alternatives
Effort: S
Owner: nyx"
PERS-068,PERS,P1 - High,Backlog,Social & Events,Unsafe,,Scene with Chop - Mon Feb 16 evening,"Why: Scheduled kink engagement
Next step: Confirm time and location with Chop
Effort: XS
Owner: arielle"
TECH-154,TECH,P2 - Medium,Backlog,Memory & Identity,Safe,,NTMA registry - document all .md files in ~/workspace,"Why: Missed during asset list compilation; needed for complete inventory
Next step: Scan ~/workspace for all *.md files and add to NTMA registry
Effort: S
Owner: nyx"
TECH-148,TECH,P2 - Medium,Backlog,Crash Prevention & Recovery,Possibly Safe,,Community contribution - share crash prevention findings and patch template,"Why: Give back to OpenClaw community with lessons learned
Next step: Write up crash prevention analysis for community sharing
Dependencies: TECH-032
Effort: M
Owner: nyx"
TECH-004,TECH,P2 - Medium,Backlog,Build & Deploy,Possibly Safe,,Migrate Nyx to dedicated 2015 MacBook Pro,"Why: Isolation from main work machine; better security hygiene; own accounts for calendar/mail/messaging
Next step: Make Time Machine backup of 2015 MacBook Pro
Dependencies: TECH-005
Effort: XL
Owner: arielle"
TECH-096,TECH,P1 - High,Backlog,MCP & Tool Integration,Possibly Safe,,Enable email reading with subagent filtering,"Why: Alert Arielle to important emails via heartbeat - route through subagent for safety
Next step: Research email channel integration options in OpenClaw
Dependencies: TECH-047
Effort: M
Owner: clem"
